municipality,year,yearly_bike_count,infrastructure_deficit,population,arrondissement,accident_score
Aalst,2020,398460,0.267624072,93284,Arr. Aalst,103.0
Aalst,2021,379708,0.267624072,93284,Arr. Aalst,76.0
Aalst,2022,468746,0.267624072,93284,Arr. Aalst,125.0
Aalst,2023,466241,0.267624072,93284,Arr. Aalst,117.0
Aalst,2024,506541,0.267624072,93284,Arr. Aalst,112.0
Aalst,2025,627354,0.267624072,93284,Arr. Aalst,111.07142857142856
Aalst,2026,152409,0.267624072,93284,Arr. Aalst,111.55952380952374
Aalter,2022,54843,0.227337965,21637,Arr. Eeklo,67.0
Aalter,2023,246950,0.227337965,21637,Arr. Eeklo,46.99999999999999
Aalter,2024,241850,0.227337965,21637,Arr. Eeklo,50.0
Aalter,2025,254563,0.227337965,21637,Arr. Eeklo,54.10714285714266
Aalter,2026,73242,0.227337965,21637,Arr. Eeklo,55.63095238095229
Aarschot,2022,125372,0.193889916,31088,Arr. Leuven,49.0
Aarschot,2023,268148,0.193889916,31088,Arr. Leuven,34.0
Aarschot,2024,272646,0.193889916,31088,Arr. Leuven,49.0
Aarschot,2025,278532,0.193889916,31088,Arr. Leuven,52.85714285714221
Aarschot,2026,87246,0.193889916,31088,Arr. Leuven,56.63095238095229
Ardooie,2022,51348,0.287873578,10038,Arr. Roeselare,12.0
Ardooie,2023,81431,0.287873578,10038,Arr. Roeselare,11.0
Ardooie,2024,91432,0.287873578,10038,Arr. Roeselare,8.0
Ardooie,2025,121403,0.287873578,10038,Arr. Roeselare,11.285714285714278
Ardooie,2026,31215,0.287873578,10038,Arr. Roeselare,11.404761904761898
As,2022,162532,0.187446028,8822,Arr. Maaseik,8.0
As,2023,206043,0.187446028,8822,Arr. Maaseik,15.0
As,2024,231581,0.187446028,8822,Arr. Maaseik,7.0
As,2025,281364,0.187446028,8822,Arr. Maaseik,9.964285714285722
As,2026,51836,0.187446028,8822,Arr. Maaseik,10.178571428571445
Asse,2022,27196,0.232854856,34244,Arr. Halle-Vilvoorde,31.0
Asse,2023,59302,0.232854856,34244,Arr. Halle-Vilvoorde,29.0
Asse,2024,65986,0.232854856,34244,Arr. Halle-Vilvoorde,37.0
Asse,2025,74417,0.232854856,34244,Arr. Halle-Vilvoorde,33.35714285714312
